"model","family","n","n_observations","primary_metric","primary_value","RMSE","MAE","AUC","cell_any_pigmented_AUC","cell_majority_pigmented_AUC","coverage_95","observed_prevalence","predicted_prevalence","calibration_intercept","calibration_slope","Bernoulli_Brier_score","heldout_spatial_fold"
"national_environment_spde_presence","binomial",284,396,"mean_negative_log_predictive_mass",0.431514458512953,0.286722306207983,0.224103535353535,0.922611538758592,0.915120967741936,0.921073717948718,1,0.547979797979798,0.552679292929293,-0.0618490129615666,1.44684854497206,0.105042172459716,1
"national_environment_spde_presence","binomial",229,366,"mean_negative_log_predictive_mass",0.702073259675489,0.367812165200355,0.319054644808743,0.79786645351697,0.794361076732673,0.816885964912281,1,0.415300546448087,0.430393442622951,-0.012309772218542,1.35009753814346,0.18058893745121,2
"national_environment_spde_presence","binomial",271,396,"mean_negative_log_predictive_mass",0.54119949986146,0.326772495548205,0.256118686868687,0.882282420161208,0.871949891067538,0.893176367996512,1,0.5,0.536164141414141,-0.244560682760548,1.14913685864641,0.137925044991583,3
"national_environment_spde_presence","binomial",251,380,"mean_negative_log_predictive_mass",0.584506575931427,0.346278262520166,0.258528947368421,0.853369076540728,0.85033748701973,0.860801639134332,1,0.544736842105263,0.568328947368421,-0.165686052648001,0.908040467663717,0.15577329674812,4
"national_environment_spde_presence","binomial",272,385,"mean_negative_log_predictive_mass",0.618845776245033,0.370974972435015,0.304054545454545,0.823527024833631,0.822550981770974,0.826300108342362,1,0.475324675324675,0.503187012987013,-0.161965427998646,0.99484740262161,0.176367018917749,5
"national_environment_spde_intensity","gaussian",160,160,"RMSE",0.916872981935362,0.916872981935362,0.678925741924386,NA,NA,NA,0.94375,NA,NA,NA,NA,NA,1
"national_environment_spde_intensity","gaussian",101,101,"RMSE",0.908227504055471,0.908227504055471,0.715756355063214,NA,NA,NA,0.940594059405941,NA,NA,NA,NA,NA,2
"national_environment_spde_intensity","gaussian",136,136,"RMSE",0.888220899096843,0.888220899096843,0.721335919093483,NA,NA,NA,0.955882352941177,NA,NA,NA,NA,NA,3
"national_environment_spde_intensity","gaussian",144,144,"RMSE",0.88263374783228,0.88263374783228,0.707394159845715,NA,NA,NA,0.958333333333333,NA,NA,NA,NA,NA,4
"national_environment_spde_intensity","gaussian",133,133,"RMSE",0.970912569080589,0.970912569080589,0.732527796500501,NA,NA,NA,0.932330827067669,NA,NA,NA,NA,NA,5
"national_environment_year_spde_phenology","gaussian",284,284,"RMSE",16.8403004949954,16.8403004949954,13.5015430741716,NA,NA,NA,0.943661971830986,NA,NA,NA,NA,NA,1
"national_environment_year_spde_phenology","gaussian",229,229,"RMSE",18.8881566739932,18.8881566739932,14.8352305282077,NA,NA,NA,0.903930131004367,NA,NA,NA,NA,NA,2
"national_environment_year_spde_phenology","gaussian",271,271,"RMSE",16.3838861825378,16.3838861825378,12.7463842091439,NA,NA,NA,0.96309963099631,NA,NA,NA,NA,NA,3
"national_environment_year_spde_phenology","gaussian",251,251,"RMSE",15.9509506159795,15.9509506159795,12.297319316697,NA,NA,NA,0.952191235059761,NA,NA,NA,NA,NA,4
"national_environment_year_spde_phenology","gaussian",272,272,"RMSE",17.2690643078971,17.2690643078971,13.7334017269343,NA,NA,NA,0.959558823529412,NA,NA,NA,NA,NA,5
"common_support_environment_spde_presence","binomial",154,210,"mean_negative_log_predictive_mass",0.347212662501427,0.254613448400857,0.171838095238095,0.837323390894819,0.762773722627737,0.773080065359477,1,0.866666666666667,0.840409523809524,-0.0830132387925349,1.26901864084677,0.0807010239795918,1
"common_support_environment_spde_presence","binomial",76,128,"mean_negative_log_predictive_mass",0.813859755692522,0.387028386442393,0.31578125,0.734102564102564,0.76078431372549,0.781557067271353,0.986842105263158,0.609375,0.534359375,0.394267025068529,0.765198295391666,0.20771507905506,2
"common_support_environment_spde_presence","binomial",126,184,"mean_negative_log_predictive_mass",0.431206943709185,0.29121320256442,0.184755434782609,0.888668975754577,0.859592529711375,0.872839095744681,0.992063492063492,0.766304347826087,0.791505434782609,-0.498577528830482,1.1935008360328,0.091145709057971,3
"common_support_environment_spde_presence","binomial",120,191,"mean_negative_log_predictive_mass",0.406670619012076,0.260976139642072,0.154743455497382,0.916266866566717,0.925473684210526,0.929510155316607,1,0.759162303664921,0.765528795811518,-0.0398810757029975,0.936111268298888,0.091668754886562,4
"common_support_environment_spde_presence","binomial",108,163,"mean_negative_log_predictive_mass",0.748075672253988,0.414137531059311,0.332024539877301,0.75515873015873,0.728571428571429,0.740988480118915,1,0.613496932515337,0.710944785276074,-0.442706694304286,0.88035298582232,0.210620324079755,5
"common_support_environment_spde_bombus_presence","binomial",154,210,"mean_negative_log_predictive_mass",0.358292950113999,0.258750263399912,0.17522380952381,0.823489010989011,0.749033920137398,0.759191176470588,0.993506493506494,0.866666666666667,0.838709523809524,0.0138185068917368,1.20913206639953,0.0828247146825397,1
"common_support_environment_spde_bombus_presence","binomial",76,128,"mean_negative_log_predictive_mass",0.793573373826968,0.381942021386614,0.311078125,0.741282051282051,0.767058823529412,0.787603930461073,0.986842105263158,0.609375,0.54709375,0.339982682727824,0.808026966956984,0.20380381484375,2
"common_support_environment_spde_bombus_presence","binomial",126,184,"mean_negative_log_predictive_mass",0.420305074107409,0.286161348211363,0.176184782608696,0.899059871350816,0.864346349745331,0.87749335106383,0.992063492063492,0.766304347826087,0.784641304347826,-0.32611610578212,1.10615481427943,0.0882288969202899,3
"common_support_environment_spde_bombus_presence","binomial",120,191,"mean_negative_log_predictive_mass",0.409645092741618,0.265337005738571,0.159837696335079,0.91664167916042,0.930947368421053,0.933094384707288,1,0.759162303664921,0.763031413612565,-0.0208103913081873,0.954994576984594,0.0939639360383944,4
"common_support_environment_spde_bombus_presence","binomial",108,163,"mean_negative_log_predictive_mass",0.723974549483327,0.402503615170037,0.32721472392638,0.781507936507936,0.762593984962406,0.773875882571535,1,0.613496932515337,0.695251533742331,-0.432078293807969,0.966784545093406,0.201119589672802,5
