"model","family","n","n_observations","primary_metric","primary_value","RMSE","MAE","AUC","cell_any_pigmented_AUC","cell_majority_pigmented_AUC","coverage_95","observed_prevalence","predicted_prevalence","calibration_intercept","calibration_slope","Bernoulli_Brier_score"
"national_environment_spde_presence","binomial",1307,1923,"mean_negative_log_predictive_mass",0.570028422986426,0.340462911592725,0.271577743109724,0.862040300196222,0.858432831273058,0.87025237907909,1,0.497659906396256,0.5191877275091,-0.132535750706119,1.14081861813315,0.150496996497908
"national_environment_spde_intensity","gaussian",674,674,"RMSE",0.913686147075992,0.913686147075992,0.709661945872922,NA,NA,NA,0.946587537091988,NA,NA,NA,NA,NA
"national_environment_year_spde_phenology","gaussian",1307,1307,"RMSE",17.0503423112643,17.0503423112643,13.3956301170003,NA,NA,NA,0.945677123182862,NA,NA,NA,NA,NA
"common_support_environment_spde_presence","binomial",584,876,"mean_negative_log_predictive_mass",0.512412351455631,0.319381742421348,0.221663242009132,0.858268272984251,0.841279871323529,0.85129156557728,0.996575342465753,0.737442922374429,0.745001141552511,-0.040530647737186,0.974409372100735,0.128019863732605
"common_support_environment_spde_bombus_presence","binomial",584,876,"mean_negative_log_predictive_mass",0.506496220101254,0.316326147008522,0.220203196347032,0.863736707497644,0.849683232668067,0.859354930783502,0.99486301369863,0.737442922374429,0.74154794520548,-0.0299922036434427,0.995999837098687,0.126077397621766
