"outcome","radius_km","contrast","baseline","added","n_folds","n_folds_improved","median_primary_metric_improvement","minimum_primary_metric_improvement","maximum_primary_metric_improvement"
"intensity_dispersion",25,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",5,3,0.0123298430638615,-0.00544602426396557,0.026010279980575
"intensity_dispersion",25,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",5,1,-0.0049738222524694,-0.0490212933051068,0.0119856292453913
"intensity_dispersion",25,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",5,1,-0.00497382225246923,-0.0490212933051068,0.0119856292453905
"intensity_dispersion",50,"environment_beyond_effort","effort_only","scale_environment",5,0,-0.0228043491666349,-0.036825603986092,-0.013322138612171
"intensity_dispersion",50,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",5,2,-0.00881738074654032,-0.0386737506740854,0.00562869262735455
"intensity_dispersion",50,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",5,3,0.00954633056562054,-0.00594835006567063,0.0400861638793454
"intensity_dispersion",50,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",5,1,-0.00877906713153304,-0.0466154560832155,0.000480624531410179
"intensity_dispersion",50,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",5,1,-0.00877906713153304,-0.0466154560832157,0.000480624531410234
"intensity_dispersion",100,"environment_beyond_effort","effort_only","scale_environment",5,0,-0.026907562478186,-0.0338926105824667,-0.00677047070521747
"intensity_dispersion",100,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",5,2,-0.0073773105530727,-0.0206011399700469,0.0146176930485398
"intensity_dispersion",100,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",5,3,0.010262882103418,-0.0435242852932441,0.0264921653549208
"intensity_dispersion",100,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",5,1,-0.00609592558815131,-0.0232774742476158,0.000512145140340925
"intensity_dispersion",100,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",5,1,-0.00609592558815114,-0.0232774742476158,0.000512145140340703
"intensity_median",25,"environment_beyond_effort","effort_only","scale_environment",5,5,0.0251597779719992,0.00554868340798675,0.0348530132999818
"intensity_median",25,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",5,2,-0.00515744183699052,-0.0528945453340997,0.00999196273218261
"intensity_median",25,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",5,4,0.0431803818778731,-0.00640950693375653,0.128819334722351
"intensity_median",25,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",5,4,0.0262581804844497,-0.0504548287907101,0.0799990112933936
"intensity_median",25,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",5,4,0.0262581804844498,-0.0504548287907099,0.0799990112933936
"intensity_median",50,"environment_beyond_effort","effort_only","scale_environment",5,5,0.0365919552759062,0.00595303763275168,0.0750556910215049
"intensity_median",50,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",5,3,0.0111355928997704,-0.0513590177549981,0.0197169215105565
"intensity_median",50,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",5,3,0.0445556247304028,-0.0170699840277481,0.111470138297042
"intensity_median",50,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",5,4,0.0415954437536383,-0.048472144505796,0.0776371930565932
"intensity_median",50,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",5,4,0.0415954437536382,-0.048472144505796,0.0776371930565941
"intensity_median",100,"environment_beyond_effort","effort_only","scale_environment",5,5,0.0822526715194702,0.0170158840371626,0.131550826635569
"intensity_median",100,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",5,4,0.017973414904946,-0.0477768829497408,0.0338374256134888
"intensity_median",100,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",5,3,0.00463615442080756,-0.0147233120407456,0.0854842344771433
"intensity_median",100,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",5,4,0.0320819514128599,-0.0441639993560315,0.0378841876382857
"intensity_median",100,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",5,4,0.0320819514128599,-0.0441639993560315,0.0378841876382858
