"outcome","radius_km","contrast","baseline","added","n_folds","n_folds_improved","median_primary_metric_improvement","minimum_primary_metric_improvement","maximum_primary_metric_improvement"
"mixed_hotspot",25,"environment_beyond_effort","effort_only","scale_environment",5,4,0.0248884568361692,-0.0206110280314555,0.0915385299064598
"mixed_hotspot",25,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",5,3,0.0337332950076171,-0.0407901637004693,0.0507108097347867
"mixed_hotspot",25,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",5,2,-0.00623092283675503,-0.030512612952729,0.0232442115122097
"mixed_hotspot",25,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",5,3,0.0190672839211526,-0.10042374187628,0.109023616427772
"mixed_hotspot",25,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",5,3,0.019067283921153,-0.100423741876282,0.109023616427772
"mixed_hotspot",50,"environment_beyond_effort","effort_only","scale_environment",5,4,0.0543845380304695,-0.00107224328105832,0.0716447391609186
"mixed_hotspot",50,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",5,2,-0.0109877158019418,-0.0573581025464155,0.0409008644398619
"mixed_hotspot",50,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",5,0,-0.00641349145671399,-0.0205115368354536,-0.00144316456982652
"mixed_hotspot",50,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",5,2,-0.0305694954452989,-0.0725416470160712,0.117179508519297
"mixed_hotspot",50,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",5,2,-0.0305694954452982,-0.0725416470160689,0.117179508519298
"mixed_hotspot",100,"environment_beyond_effort","effort_only","scale_environment",5,4,0.0685619510334597,-0.0147358094586085,0.0875638800924665
"mixed_hotspot",100,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",5,2,-0.0185818823628008,-0.0886360575537412,0.0485108429236483
"mixed_hotspot",100,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",5,0,-0.00877109570695561,-0.0275939565238149,-0.00611751333660637
"mixed_hotspot",100,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",5,2,-0.0281843419742558,-0.146678922959853,0.0647333063463658
"mixed_hotspot",100,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",5,2,-0.0281843419742558,-0.146678922959852,0.0647333063463656
"intensity_dispersion",25,"environment_beyond_effort","effort_only","scale_environment",5,0,-0.0242082303152125,-0.0322290925903654,-0.013508875203906
"intensity_dispersion",25,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",5,2,-0.00661214687959732,-0.0455400101824193,0.00384523921568125
