comparison,metric,n,delta_L_mean,delta_a_mean,delta_b_mean,mean,min,median,p95,p99,max
legacy_vs_primary,DeltaE76,1926,0.459313297855889,0.564927197250172,-0.5130964897442508,4.18165909584329,0.07100041718589581,3.343524183389307,10.330818726215833,16.271747447579887,27.57622401598429
mean_vs_median,DeltaE76,1965,0.47934932338462716,0.9608916170799906,-1.1473262792453796,2.559018023714203,0.09227558273121877,2.1049409104472234,6.170449973147484,8.734492070063123,17.442377071320887
median_vs_hsv_joint_peak,DeltaE76,1965,1.1560318371930542,0.24573005775744677,-0.43012765636407013,3.8703782435412095,0.0,2.2951254862507375,12.189489493146974,21.90489156130751,33.80968871582735
median_vs_exposure_filtered_peak,DeltaE76,1963,0.8150442212393333,0.3073574686037341,-0.47651300056890705,3.749561162112408,0.0,2.2832011390962315,11.78010191776285,20.750811764405352,30.134957579964354
hsv_vs_alpha_joint_peak,DeltaE76,1965,-0.15047300088781682,-0.03055117026288634,0.059069791630479526,0.18869501764543908,0.0,0.0,0.0,5.810087702037239,30.764075448720014
