"outcome","radius_km","contrast","baseline","added","delta_log_loss","delta_brier","delta_AUC","delta_RMSE","delta_MAE","delta_heldout_R2"
"mixed_hotspot",25,"environment_beyond_effort","effort_only","scale_environment",0.0246492707071251,0.00302970314219722,0.095177304964539,NA,NA,NA
"mixed_hotspot",25,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",0.00775193530351054,0.00814116066026524,0.014468085106383,NA,NA,NA
"mixed_hotspot",25,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",-0.00304316663379428,0.00430853204443406,-0.00312056737588662,NA,NA,NA
"mixed_hotspot",25,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",-0.00381470827753672,0.000929893077035157,0.0255319148936171,NA,NA,NA
"mixed_hotspot",25,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",-0.00381470827753694,0.000929893077035088,0.0255319148936171,NA,NA,NA
"mixed_hotspot",50,"environment_beyond_effort","effort_only","scale_environment",0.040394390184028,0.0134466722443225,0.106524822695035,NA,NA,NA
"mixed_hotspot",50,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",-0.0116685328666425,0.00131525509089836,-0.00709219858156018,NA,NA,NA
"mixed_hotspot",50,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",-0.00907035096915726,-0.00292615213829248,-0.0104964539007092,NA,NA,NA
"mixed_hotspot",50,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",-0.0067823875552237,0.0054287727658669,0.017872340425532,NA,NA,NA
"mixed_hotspot",50,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",-0.00678238755522298,0.00542877276586712,0.017872340425532,NA,NA,NA
"mixed_hotspot",100,"environment_beyond_effort","effort_only","scale_environment",0.0486309974493057,0.0181932730249593,0.137163120567376,NA,NA,NA
"mixed_hotspot",100,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",-0.0300400206998945,0.00312519754213926,-0.0371631205673759,NA,NA,NA
"mixed_hotspot",100,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",-0.0138110432453372,-0.00158304362930921,-0.0246808510638298,NA,NA,NA
"mixed_hotspot",100,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",-0.0473042791849212,-3.68552494620089e-06,-0.0278014184397164,NA,NA,NA
"mixed_hotspot",100,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",-0.047304279184921,-3.68552494622865e-06,-0.0278014184397164,NA,NA,NA
"intensity_dispersion",25,"environment_beyond_effort","effort_only","scale_environment",NA,NA,NA,-0.0240818560126054,-0.0182066685982752,-0.151852753003219
"intensity_dispersion",25,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",NA,NA,NA,-0.00988828665062264,-0.00119312747903572,-0.0654299777933383
"intensity_dispersion",25,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",NA,NA,NA,0.00902574117490079,0.0054447706785527,0.0581585535379772
"intensity_dispersion",25,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",NA,NA,NA,-0.0182196732966162,-0.00736075605575787,-0.118935557380111
"intensity_dispersion",25,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",NA,NA,NA,-0.0182196732966162,-0.00736075605575792,-0.118935557380111
"intensity_dispersion",50,"environment_beyond_effort","effort_only","scale_environment",NA,NA,NA,-0.0228379585690679,-0.0177457029983884,-0.14374885167874
"intensity_dispersion",50,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",NA,NA,NA,-0.00889082810426395,-0.00162236507940355,-0.0585459834021658
"intensity_dispersion",50,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",NA,NA,NA,0.0139730391527683,0.0115032924597704,0.0890852979373311
"intensity_dispersion",50,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",NA,NA,NA,-0.0131292884749752,-0.00401839589007047,-0.083604461688751
"intensity_dispersion",50,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",NA,NA,NA,-0.0131292884749754,-0.00401839589007058,-0.0836044616887515
"intensity_dispersion",100,"environment_beyond_effort","effort_only","scale_environment",NA,NA,NA,-0.0222112488788681,-0.01992313687531,-0.139676624233099
"intensity_dispersion",100,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",NA,NA,NA,-0.00398906391575415,0.00295079211570537,-0.0260429797485089
"intensity_dispersion",100,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",NA,NA,NA,0.000446143628196005,0.00380577174205343,0.00289456199722826
"intensity_dispersion",100,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",NA,NA,NA,-0.00686238805883282,-0.00315627732645285,-0.044926298039901
"intensity_dispersion",100,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",NA,NA,NA,-0.00686238805883294,-0.00315627732645302,-0.0449262980399017
"intensity_median",25,"environment_beyond_effort","effort_only","scale_environment",NA,NA,NA,0.0219394146981351,0.0253228441349517,0.0487339881411183
"intensity_median",25,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",NA,NA,NA,-0.0155563183629921,-0.00995064228892917,-0.0344318345433604
"intensity_median",25,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",NA,NA,NA,0.0368034579417233,0.0455578331278318,0.0790649394407019
"intensity_median",25,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",NA,NA,NA,0.0119777667026422,0.00793050982876853,0.0250057939901289
"intensity_median",25,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",NA,NA,NA,0.0119777667026423,0.00793050982876853,0.025005793990129
"intensity_median",50,"environment_beyond_effort","effort_only","scale_environment",NA,NA,NA,0.0278263419052903,0.0319978127344249,0.061607050759705
"intensity_median",50,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",NA,NA,NA,-0.00534372148251228,0.00177112629244247,-0.0116816166140692
"intensity_median",50,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",NA,NA,NA,0.0246046953347622,0.0334875868286133,0.0528713058102251
"intensity_median",50,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",NA,NA,NA,0.0233457983824253,0.0156214986969934,0.0487750805926265
"intensity_median",50,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",NA,NA,NA,0.0233457983824255,0.0156214986969935,0.0487750805926268
"intensity_median",100,"environment_beyond_effort","effort_only","scale_environment",NA,NA,NA,0.0614679698038562,0.0730188871874993,0.133519402383695
"intensity_median",100,"fingerprint_beyond_scaled_environment","scale_environment","scale_environment_fingerprint",NA,NA,NA,0.00415022337735071,0.0084446394920461,0.00867661625924043
"intensity_median",100,"space_beyond_scaled_environment","scale_environment","scale_environment_spatial",NA,NA,NA,0.00894392725242288,0.00802157118808133,0.0186452397071263
"intensity_median",100,"fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint",NA,NA,NA,0.0163962968218863,0.00654173898735799,0.0336647552812989
"intensity_median",100,"orthogonal_fingerprint_beyond_scaled_environment_and_space","scale_environment_spatial","scale_environment_spatial_fingerprint_orthogonal",NA,NA,NA,0.0163962968218863,0.00654173898735799,0.033664755281299
