"model","fold","n","rmse","mae","q2"
"none",1,370,104.647929107841,91.3174442669852,-46.6046698086846
"none",2,370,19.4692009468354,15.670167284598,-0.139942349676426
"none",3,370,17.6480756976684,13.6860367299856,-0.305489764419026
"none",4,370,17.9025600541183,14.6379152191235,-0.308917140749333
"none",5,370,30.75882490858,27.1306837095587,-3.00435565185898
"Bombus_suitability_sum",1,370,87.7009453860231,75.9617193970653,-32.4346537631719
"Bombus_suitability_sum",2,370,16.0521922901826,12.7763267143632,0.225082729364095
"Bombus_suitability_sum",3,370,14.150991940987,11.6253203272694,0.160631778933076
"Bombus_suitability_sum",4,370,15.6537690424084,12.6536488728573,-0.000736454252261209
"Bombus_suitability_sum",5,370,22.518992049787,19.510841834565,-1.14630312678877
"Bombus_any_availability",1,370,98.0602517762957,85.1799647460273,-40.7998081302464
"Bombus_any_availability",2,370,18.7429932301093,15.1903219670422,-0.0564879055964578
"Bombus_any_availability",3,370,16.1410570321001,12.6972777510517,-0.0920504429838036
"Bombus_any_availability",4,370,17.8418837278599,14.6584441783518,-0.300059670591517
"Bombus_any_availability",5,370,24.9593365905974,21.834851370674,-1.63669101132488
"Bombus_max_availability",1,370,98.3900379545004,85.4330966321889,-41.0814345562441
"Bombus_max_availability",2,370,18.7176907904381,15.1299515048664,-0.0536373813836577
"Bombus_max_availability",3,370,15.9617884056168,12.711868184427,-0.0679277064159614
"Bombus_max_availability",4,370,18.0953974484737,14.880083073965,-0.337267005480162
"Bombus_max_availability",5,370,27.4404257146236,23.9638794025144,-2.18694708508182
