"records_total","records_complete","records_missing","r_squared_in_sample","adjusted_r_squared_in_sample","residual_sigma_standardized","model_matrix_condition_number","records_complete_cv","folds","folds_configured","folds_actual","rmse","mae","q_squared_cv","r_squared_cv_global_mean","macro_rmse","macro_mae","macro_q_squared","run","qc_scenario","colour_method","grain","cohort_basis","outcome","model_variant"
1922,1914,8,0.157877939328705,0.155228368083803,0.919114591286743,4.39728626399885,1914,5,5,5,12.7634418170938,10.1516925670328,0.160075312838454,0.10373816401673,12.7033527872554,10.1551849307869,0.141135519088279,"inclusive__primary","inclusive","primary","photo","all_methods_common","L","environment_only_full"
1846,1846,0,0.164077112206263,0.161349794464685,0.915778469683206,4.37771606412855,1846,5,5,5,12.7410219243198,10.1373309136183,0.173388641113076,0.115077525229886,12.6718024802008,10.1358958796586,0.15490909538337,"inclusive__primary","inclusive","primary","photo","all_methods_common","L","environment_only_bombus_common"
1846,1846,0,0.186878492865924,0.183781729781083,0.903447989769704,4.54102090018774,1846,5,5,5,12.5658530890422,10.023709051918,0.195961585170136,0.139242818028087,12.5227975831692,10.0212784375009,0.172403941012643,"inclusive__primary","inclusive","primary","photo","all_methods_common","L","environment_plus_bombus"
1922,1914,8,0.170260448802243,0.167649836685207,0.912332265852081,4.39728626399885,1914,5,5,5,11.340764040547,8.98089676856074,0.180518423775056,0.116734759919645,11.3282447425229,8.98942264469829,0.161802473915326,"inclusive__primary","inclusive","primary","photo","all_methods_common","b","environment_only_full"
1846,1846,0,0.179641772393829,0.176965236577822,0.90721263407328,4.37771606412855,1846,5,5,5,11.2818946617027,8.94502962890846,0.197786725532117,0.131966409053371,11.2684592862444,8.95280494832198,0.178354447667866,"inclusive__primary","inclusive","primary","photo","all_methods_common","b","environment_only_bombus_common"
1846,1846,0,0.183951032073327,0.18084311979069,0.905072859061254,4.54102090018774,1846,5,5,5,11.3425331121276,9.00665976633602,0.189140004222246,0.122610238085619,11.3295401224601,9.01565710400452,0.169216302612011,"inclusive__primary","inclusive","primary","photo","all_methods_common","b","environment_plus_bombus"
1963,1955,8,0.216884145946089,0.214472084793972,0.886300127048412,4.38700193680347,1955,5,5,5,13.874418112553,11.2568323905276,0.218877865964386,0.148350439005856,13.8496257333373,11.2611474734233,0.197540385003705,"inclusive__mean","inclusive","mean","photo","method_specific","a","environment_only_full"
1887,1887,0,0.226119839034296,0.223650008733342,0.881107252987204,4.36768206336268,1887,5,5,5,13.7432815903906,11.1550692936492,0.236892330076175,0.163704952103467,13.7259141284821,11.1654506022868,0.214529840417689,"inclusive__mean","inclusive","mean","photo","method_specific","a","environment_only_bombus_common"
1887,1887,0,0.246630661360613,0.243824069891493,0.869583768310165,4.53485499005509,1887,5,5,5,13.600785525164,11.0608829640555,0.252634728953627,0.180957157450242,13.5916318533443,11.0703952338096,0.228388118165035,"inclusive__mean","inclusive","mean","photo","method_specific","a","environment_plus_bombus"
1922,1914,8,0.219616383157966,0.217161059769895,0.884781860251499,4.39728626399885,1914,5,5,5,13.9181445030863,11.3060081085501,0.222086668611322,0.151973756567562,13.8935735881486,11.3091233256699,0.200018808850077,"inclusive__mean","inclusive","mean","photo","all_methods_common","a","environment_only_full"
1846,1846,0,0.229195663977545,0.226680804806183,0.879385691942856,4.37771606412855,1846,5,5,5,13.7822738784475,11.2002367844523,0.24067089702521,0.167931183198005,13.7659576599047,11.2101458469579,0.217583643966184,"inclusive__mean","inclusive","mean","photo","all_methods_common","a","environment_only_bombus_common"
1846,1846,0,0.248924042605873,0.246063579220802,0.868295123088456,4.54102090018774,1846,5,5,5,13.6438725664191,11.1145022333193,0.255844659853578,0.184558512288345,13.63593582932,11.1261629248105,0.231016942429635,"inclusive__mean","inclusive","mean","photo","all_methods_common","a","environment_plus_bombus"
1924,1916,8,0.220268272866967,0.217817570738733,0.884410780837315,4.3990362307495,1916,5,5,5,14.1031262155465,11.6079575179907,0.223443473534748,0.152146235020601,14.0752306619981,11.6122281753848,0.202100027165247,"inclusive__legacy","inclusive","legacy","photo","method_specific","a","environment_only_full"
1848,1848,0,0.229795874890696,0.227285703923474,0.87904169188755,4.37950192435286,1848,5,5,5,13.9713712136287,11.501327616415,0.242247726973686,0.168171624412034,13.9524959832594,11.5129022915843,0.219828156386006,"inclusive__legacy","inclusive","legacy","photo","method_specific","a","environment_only_bombus_common"
1848,1848,0,0.248643454072165,0.245785032430048,0.868455506960462,4.54140707966463,1848,5,5,5,13.8322236190033,11.3907813841211,0.257266202064195,0.184658270751546,13.8228514040007,11.403090768853,0.232976939582881,"inclusive__legacy","inclusive","legacy","photo","method_specific","a","environment_plus_bombus"
1922,1914,8,0.219949274016924,0.217494998004392,0.884593127938267,4.39728626399885,1914,5,5,5,14.1091361636094,11.6158375401058,0.22295940063807,0.151785008081427,14.0809804784024,11.619550930444,0.201724426193788,"inclusive__legacy","inclusive","legacy","photo","all_methods_common","a","environment_only_full"
1846,1846,0,0.229462589519969,0.22694860123129,0.879233415407257,4.37771606412855,1846,5,5,5,13.9772797738745,11.5089302587601,0.241748899943877,0.167816367860958,13.9582820390211,11.5202345860714,0.219441484151754,"inclusive__legacy","inclusive","legacy","photo","all_methods_common","a","environment_only_bombus_common"
1846,1846,0,0.248356000018069,0.245493373249911,0.868623409050256,4.54102090018774,1846,5,5,5,13.8365838689695,11.3966294777908,0.25693724694887,0.184485639789305,13.8273963210559,11.4096816579019,0.232716837682004,"inclusive__legacy","inclusive","legacy","photo","all_methods_common","a","environment_plus_bombus"
1963,1955,8,0.213814689836512,0.211393174507467,0.888035374009693,4.38700193680347,1955,5,5,5,15.1609270683306,12.2590515292698,0.217369872266214,0.148828291028054,15.1360874099492,12.2659497405165,0.195494949232216,"inclusive__hsv_peak","inclusive","hsv_peak","photo","method_specific","a","environment_only_full"
1887,1887,0,0.222114944631028,0.219632332752191,0.883384212700119,4.36768206336268,1887,5,5,5,15.0545847851352,12.1747841646745,0.23420426454611,0.163145096848945,15.0350732805448,12.1861334622187,0.21171118693356,"inclusive__hsv_peak","inclusive","hsv_peak","photo","method_specific","a","environment_only_bombus_common"
1887,1887,0,0.245707022204824,0.242896989823469,0.870116664693035,4.53485499005509,1887,5,5,5,14.8366260048243,12.0151000514282,0.256217975300772,0.187201488036171,14.8323825149911,12.0242676423793,0.230949676032619,"inclusive__hsv_peak","inclusive","hsv_peak","photo","method_specific","a","environment_plus_bombus"
1922,1914,8,0.215939972616415,0.213473082126483,0.886863528325253,4.39728626399885,1914,5,5,5,15.2142679438554,12.3302465869618,0.219727374974921,0.151541448234038,15.1902714369237,12.3351631592951,0.196894502855788,"inclusive__hsv_peak","inclusive","hsv_peak","photo","all_methods_common","a","environment_only_full"
1846,1846,0,0.224519171543654,0.221989054648201,0.882049287371063,4.37771606412855,1846,5,5,5,15.1038144226134,12.2410969193749,0.23704131913219,0.166371490948789,15.0858088010565,12.2510592354988,0.213595953662848,"inclusive__hsv_peak","inclusive","hsv_peak","photo","all_methods_common","a","environment_only_bombus_common"
1846,1846,0,0.247154630436293,0.244287428267117,0.869317302101416,4.54102090018774,1846,5,5,5,14.8957732962108,12.0960718383635,0.257914672228821,0.189178259725641,14.8926067370631,12.1066524340842,0.231909405304378,"inclusive__hsv_peak","inclusive","hsv_peak","photo","all_methods_common","a","environment_plus_bombus"
1961,1953,8,0.215075900127574,0.212655784711729,0.887324188382281,4.38529298799645,1953,5,5,5,15.1728566778947,12.2686963769706,0.219541422389719,0.150903266306818,15.146964195437,12.274188269024,0.197940668468699,"inclusive__hsv_exposure_filtered_peak","inclusive","hsv_exposure_filtered_peak","photo","method_specific","a","environment_only_full"
1885,1885,0,0.223478958139136,0.220998060241817,0.882610865420419,4.36593909303754,1885,5,5,5,15.064479845472,12.1820795813104,0.236417325787947,0.165340596384224,15.044666659045,12.1928558348735,0.214163127939499,"inclusive__hsv_exposure_filtered_peak","inclusive","hsv_exposure_filtered_peak","photo","method_specific","a","environment_only_bombus_common"
1885,1885,0,0.247402527006341,0.244595823590808,0.869139906119373,4.53451643273213,1885,5,5,5,14.840730817197,12.0183618986963,0.258931488900297,0.189950450157627,14.8360275858976,12.0281659599477,0.23399239489362,"inclusive__hsv_exposure_filtered_peak","inclusive","hsv_exposure_filtered_peak","photo","method_specific","a","environment_plus_bombus"
1922,1914,8,0.217661569289374,0.21520009546438,0.885889329733471,4.39728626399885,1914,5,5,5,15.2182529824564,12.3265354097304,0.222607971833424,0.154211175359174,15.1935757484721,12.3310011056423,0.199961537733174,"inclusive__hsv_exposure_filtered_peak","inclusive","hsv_exposure_filtered_peak","photo","all_methods_common","a","environment_only_full"
1846,1846,0,0.226371976290464,0.223847904434968,0.880994946390178,4.37771606412855,1846,5,5,5,15.1056351094532,12.234817447345,0.239998253400409,0.169176917138782,15.0876137480479,12.2448998541755,0.216704334135664,"inclusive__hsv_exposure_filtered_peak","inclusive","hsv_exposure_filtered_peak","photo","all_methods_common","a","environment_only_bombus_common"
1846,1846,0,0.249317266811605,0.246458301016002,0.868067796306255,4.54102090018774,1846,5,5,5,14.8924574888888,12.0877723294244,0.261297873760546,0.19246135869508,14.8887404438881,12.0984801901848,0.235596441608792,"inclusive__hsv_exposure_filtered_peak","inclusive","hsv_exposure_filtered_peak","photo","all_methods_common","a","environment_plus_bombus"
1963,1955,8,0.212473826434073,0.210048181135615,0.888792337311919,4.38700193680347,1955,5,5,5,15.1758078663177,12.2748290178586,0.215972549482696,0.147734406546739,15.1507521790827,12.281885602906,0.194341900340969,"inclusive__alpha_peak","inclusive","alpha_peak","photo","method_specific","a","environment_only_full"
1887,1887,0,0.220716438845459,0.218229363650285,0.884177943826759,4.36768206336268,1887,5,5,5,15.0704135274337,12.1909818833879,0.232745753576351,0.161992602816266,15.0505766762439,12.2024397348772,0.210504623516047,"inclusive__alpha_peak","inclusive","alpha_peak","photo","method_specific","a","environment_only_bombus_common"
1887,1887,0,0.244244260335924,0.24142877860221,0.870959942475996,4.53485499005509,1887,5,5,5,14.85216443271,12.0287365881508,0.254807527003902,0.186088825696043,14.8479227566665,12.0379686902803,0.229743946470375,"inclusive__alpha_peak","inclusive","alpha_peak","photo","method_specific","a","environment_plus_bombus"
1922,1914,8,0.214900468718737,0.212430307634475,0.887451233795708,4.39728626399885,1914,5,5,5,15.2234981482346,12.3426711171987,0.218789338323344,0.150878753020793,15.1997278666199,12.3475481527006,0.196114151329328,"inclusive__alpha_peak","inclusive","alpha_peak","photo","all_methods_common","a","environment_only_full"
1846,1846,0,0.223438380150709,0.220904737019063,0.88266373154273,4.37771606412855,1846,5,5,5,15.113767353914,12.2541008267463,0.236057650944557,0.16566341114193,15.0958506016001,12.2640033141045,0.212786727450951,"inclusive__alpha_peak","inclusive","alpha_peak","photo","all_methods_common","a","environment_only_bombus_common"
1846,1846,0,0.245976124325125,0.243104433830172,0.869997451818009,4.54102090018774,1846,5,5,5,14.9060784637314,12.108662709789,0.256909128891071,0.188436269596568,14.9031289652419,12.1191061454564,0.231097820321286,"inclusive__alpha_peak","inclusive","alpha_peak","photo","all_methods_common","a","environment_plus_bombus"
1180,1177,3,0.218250415247016,0.214241443017514,0.886430232439353,4.22750627912812,1177,5,5,5,14.625655728529,11.823917821551,0.213803776634232,0.14685689787191,14.6022119900272,11.8470508832108,0.196555796140574,"strict_ok__primary","strict_ok","primary","photo","method_specific","a","environment_only_full"
1142,1142,0,0.22652454596411,0.22243568893837,0.881796071130752,4.19076581919001,1142,5,5,5,14.449402477086,11.6818783388126,0.229912322786593,0.161135070767978,14.4330398312636,11.7118689387294,0.21156677331372,"strict_ok__primary","strict_ok","primary","photo","method_specific","a","environment_only_bombus_common"
1142,1142,0,0.241170041827276,0.236485906283,0.873792935263842,4.32591042649338,1142,5,5,5,14.3452273255651,11.6426847069882,0.240976421396263,0.173187314391459,14.3344523185881,11.664612640505,0.221746643214667,"strict_ok__primary","strict_ok","primary","photo","method_specific","a","environment_plus_bombus"
1180,1177,3,0.15431128182652,0.149974416605118,0.921968320168803,4.22750627912812,1177,5,5,5,11.7037381276521,9.3329394337382,0.157247521867899,0.107668696356748,11.6627955163874,9.34920487210652,0.147095149528874,"strict_ok__primary","strict_ok","primary","photo","method_specific","L","environment_only_full"
1142,1142,0,0.159743476970064,0.155301592266822,0.919074756335511,4.19076581919001,1142,5,5,5,11.7176136344161,9.34360142177083,0.16845261419343,0.117395502744986,11.6738222218242,9.35818263781038,0.158004830105514,"strict_ok__primary","strict_ok","primary","photo","method_specific","L","environment_only_bombus_common"
1142,1142,0,0.172443826292388,0.167335454849748,0.912504545276489,4.32591042649338,1142,5,5,5,11.6553557946508,9.29457005226439,0.177265468555557,0.126749467445533,11.626070895933,9.30288396892694,0.163567118462231,"strict_ok__primary","strict_ok","primary","photo","method_specific","L","environment_plus_bombus"
1180,1177,3,0.173000977692016,0.168759957064796,0.911723665885231,4.22750627912812,1177,5,5,5,11.1746659246901,8.90486322963851,0.176295278054318,0.111946913841798,11.1666295385253,8.91932225428834,0.153722666828729,"strict_ok__primary","strict_ok","primary","photo","method_specific","b","environment_only_full"
1142,1142,0,0.1814271711204,0.177099913875222,0.907138405164713,4.19076581919001,1142,5,5,5,11.0729341839429,8.83739888698827,0.191633659402565,0.125655684651655,11.0634461918569,8.85138145765728,0.168211394458124,"strict_ok__primary","strict_ok","primary","photo","method_specific","b","environment_only_bombus_common"
1142,1142,0,0.183522508129078,0.178482523611356,0.906376012694866,4.32591042649338,1142,5,5,5,11.2047805329252,8.96567325572678,0.172268479725817,0.104709940233907,11.188976848778,8.98081726519541,0.147416280722643,"strict_ok__primary","strict_ok","primary","photo","method_specific","b","environment_plus_bombus"
1167,1164,3,0.219976759844612,0.215931695504999,0.885476315038975,4.23302184749903,1164,5,5,5,14.6538801288735,11.8582615101454,0.216431430680932,0.14996948713669,14.6296960795121,11.8796511663288,0.199130069819124,"strict_ok__primary","strict_ok","primary","photo","all_methods_common","a","environment_only_full"
1129,1129,0,0.228460281665204,0.224334400818493,0.88071879688213,4.19582272390547,1129,5,5,5,14.4759464710479,11.7146084422557,0.232725490479712,0.164455514446514,14.4588178554089,11.7427017921861,0.21430601411459,"strict_ok__primary","strict_ok","primary","photo","all_methods_common","a","environment_only_bombus_common"
1129,1129,0,0.243162454224183,0.238436439219339,0.872676091560128,4.31909459124739,1129,5,5,5,14.3663020550938,11.6700904907045,0.244304528141151,0.177064823039445,14.3554617179156,11.6908743029101,0.224982664218368,"strict_ok__primary","strict_ok","primary","photo","all_methods_common","a","environment_plus_bombus"
1167,1164,3,0.15473923415988,0.15035585940185,0.921761433668251,4.23302184749903,1164,5,5,5,11.7409835346136,9.3523136632672,0.156942703307463,0.106992587331957,11.6948571976936,9.36655863307791,0.146795318103165,"strict_ok__primary","strict_ok","primary","photo","all_methods_common","L","environment_only_full"
1129,1129,0,0.160273259536122,0.155782742207438,0.918812961267179,4.19582272390547,1129,5,5,5,11.7558014960329,9.36233503165985,0.168381563358202,0.116893559621534,11.7068859592248,9.37515435782361,0.157926465552453,"strict_ok__primary","strict_ok","primary","photo","all_methods_common","L","environment_only_bombus_common"
1129,1129,0,0.173186971969545,0.168024000340453,0.912127183927521,4.31909459124739,1129,5,5,5,11.6877849612229,9.3074727201771,0.177976854903491,0.127082924584596,11.6543440218339,9.31402684693606,0.16412927774517,"strict_ok__primary","strict_ok","primary","photo","all_methods_common","L","environment_plus_bombus"
1167,1164,3,0.176347168811239,0.172075849029793,0.909903374524024,4.23302184749903,1164,5,5,5,11.1565559762391,8.87409231408058,0.179702940408151,0.115225018683982,11.1482146273296,8.88933310264146,0.156202444535579,"strict_ok__primary","strict_ok","primary","photo","all_methods_common","b","environment_only_full"
1129,1129,0,0.185076936967425,0.180719059625005,0.905141392476885,4.19582272390547,1129,5,5,5,11.0532051269895,8.80506035965324,0.19526538990618,0.129144210625673,11.0429337405401,8.81953948205035,0.17086312850223,"strict_ok__primary","strict_ok","primary","photo","all_methods_common","b","environment_only_bombus_common"
1129,1129,0,0.187379228249599,0.182304879095047,0.9042649616705,4.31909459124739,1129,5,5,5,11.1821025777301,8.93371371344765,0.176387054737099,0.108714733292982,11.1657897672223,8.9491823751879,0.150465634914984,"strict_ok__primary","strict_ok","primary","photo","all_methods_common","b","environment_plus_bombus"
1180,1177,3,0.220756760729207,0.216760641553459,0.885008112079512,4.22750627912812,1177,5,5,5,13.8421046037985,11.1832536115194,0.217343790816157,0.150436424990361,13.816271850473,11.2051300365718,0.2010886428544,"strict_ok__mean","strict_ok","mean","photo","method_specific","a","environment_only_full"
1142,1142,0,0.229251769894579,0.225177329911643,0.880240120699094,4.19076581919001,1142,5,5,5,13.6686902057418,11.0459390337957,0.233519755335724,0.164859346544475,13.6515366768947,11.0758794790692,0.216042458336356,"strict_ok__mean","strict_ok","mean","photo","method_specific","a","environment_only_bombus_common"
1142,1142,0,0.24290577618933,0.238232355054697,0.872793013804134,4.32591042649338,1142,5,5,5,13.5889049462803,11.012160373123,0.242441655582546,0.174580460237965,13.5770727903038,11.0350391410898,0.224011406440141,"strict_ok__mean","strict_ok","mean","photo","method_specific","a","environment_plus_bombus"
1167,1164,3,0.222430648597002,0.218398309696036,0.884082400177701,4.23302184749903,1164,5,5,5,13.869094666096,11.2149422354336,0.219909254958675,0.153575061762289,13.8427867846622,11.2352355581921,0.203574544179177,"strict_ok__mean","strict_ok","mean","photo","all_methods_common","a","environment_only_full"
1129,1129,0,0.231143409890367,0.227031877322936,0.879186056916888,4.19582272390547,1129,5,5,5,13.6941073244804,11.0771737119178,0.236274920707905,0.168204657290778,13.6764722603425,11.1053269838726,0.21869375817203,"strict_ok__mean","strict_ok","mean","photo","all_methods_common","a","environment_only_bombus_common"
1129,1129,0,0.244826869609361,0.240111247920927,0.871715981314484,4.31909459124739,1129,5,5,5,13.6089335680347,11.0378271290575,0.245745715329171,0.178519576980238,13.5971291767845,11.0596511671624,0.227214625536053,"strict_ok__mean","strict_ok","mean","photo","all_methods_common","a","environment_plus_bombus"
1167,1164,3,0.224035624138301,0.22001160836028,0.883169514668458,4.23302184749903,1164,5,5,5,13.9834845641226,11.4524721107344,0.223129591974599,0.156240436099043,13.9558886628151,11.4742808532295,0.207576076983292,"strict_ok__legacy","strict_ok","legacy","photo","method_specific","a","environment_only_full"
1129,1129,0,0.232661001050571,0.228557583943889,0.87831794701925,4.19582272390547,1129,5,5,5,13.8154182654462,11.3179677067234,0.239507124610404,0.170911387030258,13.7977685789969,11.3481630662977,0.222729013437374,"strict_ok__legacy","strict_ok","legacy","photo","method_specific","a","environment_only_bombus_common"
1129,1129,0,0.245537939964742,0.240826758501542,0.871305481159425,4.31909459124739,1129,5,5,5,13.7266433890271,11.2627744284495,0.249249247344716,0.181532240014625,13.7134839546695,11.2872606190195,0.23168978568841,"strict_ok__legacy","strict_ok","legacy","photo","method_specific","a","environment_plus_bombus"
1167,1164,3,0.224035624138301,0.22001160836028,0.883169514668458,4.23302184749903,1164,5,5,5,13.9834845641226,11.4524721107344,0.223129591974599,0.156240436099043,13.9558886628151,11.4742808532295,0.207576076983292,"strict_ok__legacy","strict_ok","legacy","photo","all_methods_common","a","environment_only_full"
1129,1129,0,0.232661001050571,0.228557583943889,0.87831794701925,4.19582272390547,1129,5,5,5,13.8154182654462,11.3179677067234,0.239507124610404,0.170911387030258,13.7977685789969,11.3481630662977,0.222729013437374,"strict_ok__legacy","strict_ok","legacy","photo","all_methods_common","a","environment_only_bombus_common"
1129,1129,0,0.245537939964742,0.240826758501542,0.871305481159425,4.31909459124739,1129,5,5,5,13.7266433890271,11.2627744284495,0.249249247344716,0.181532240014625,13.7134839546695,11.2872606190195,0.23168978568841,"strict_ok__legacy","strict_ok","legacy","photo","all_methods_common","a","environment_plus_bombus"
1180,1177,3,0.22243619686656,0.218448690183825,0.884053906623445,4.22750627912812,1177,5,5,5,14.9830139258307,12.0886182190642,0.220975558208954,0.154322084673281,14.9597694410565,12.1145890921521,0.203038394213581,"strict_ok__hsv_peak","strict_ok","hsv_peak","photo","method_specific","a","environment_only_full"
1142,1142,0,0.230838312658802,0.226772259686073,0.8793336911059,4.19076581919001,1142,5,5,5,14.8070425514033,11.9459895886415,0.237146657974456,0.168706110981482,14.7899954470619,11.978559544882,0.218241694454276,"strict_ok__hsv_peak","strict_ok","hsv_peak","photo","method_specific","a","environment_only_bombus_common"
1142,1142,0,0.246595521000632,0.241944876068538,0.870663611236546,4.32591042649338,1142,5,5,5,14.6669475044577,11.8664544364193,0.251513658845255,0.184362069170911,14.6568961275289,11.8891588994826,0.231529096171882,"strict_ok__hsv_peak","strict_ok","hsv_peak","photo","method_specific","a","environment_plus_bombus"
1167,1164,3,0.224073050424972,0.22004922873314,0.883148215911044,4.23302184749903,1164,5,5,5,15.0126790976497,12.1250315871172,0.223524539854202,0.157379963614026,14.9886573675461,12.1492808795121,0.205551797019309,"strict_ok__hsv_peak","strict_ok","hsv_peak","photo","all_methods_common","a","environment_only_full"
1129,1129,0,0.232675239209028,0.228571898242231,0.878309798281773,4.19582272390547,1129,5,5,5,14.835002248603,11.9805421613573,0.239884987371841,0.171971250204726,14.8171730725816,12.0112179046154,0.220925010159591,"strict_ok__hsv_peak","strict_ok","hsv_peak","photo","all_methods_common","a","environment_only_bombus_common"
1129,1129,0,0.248435862820683,0.243742777218314,0.869630509343874,4.31909459124739,1129,5,5,5,14.6909548819797,11.8978315943042,0.254574702888008,0.18797344273036,14.6808555001068,11.9191397045,0.234519614625435,"strict_ok__hsv_peak","strict_ok","hsv_peak","photo","all_methods_common","a","environment_plus_bombus"
1180,1177,3,0.2223325002642,0.218344461804017,0.884112853766973,4.22750627912812,1177,5,5,5,14.9837866258727,12.089174482709,0.220831235825331,0.15418533664358,14.9605156067536,12.1151148912686,0.202928423067441,"strict_ok__hsv_exposure_filtered_peak","strict_ok","hsv_exposure_filtered_peak","photo","method_specific","a","environment_only_full"
1142,1142,0,0.230739937244787,0.226673364225817,0.879389922488417,4.19076581919001,1142,5,5,5,14.8076379178938,11.9454966836089,0.237016055854926,0.168579099585285,14.7905557329917,11.9780859457751,0.218147520743652,"strict_ok__hsv_exposure_filtered_peak","strict_ok","hsv_exposure_filtered_peak","photo","method_specific","a","environment_only_bombus_common"
1142,1142,0,0.246466368524735,0.241814926355134,0.870738234858712,4.32591042649338,1142,5,5,5,14.6683425092317,11.8660145583893,0.251303313863636,0.184147874012603,14.6582011187062,11.8887561256973,0.231362879871802,"strict_ok__hsv_exposure_filtered_peak","strict_ok","hsv_exposure_filtered_peak","photo","method_specific","a","environment_plus_bombus"
1167,1164,3,0.22396777508709,0.219943407455735,0.883208125270746,4.23302184749903,1164,5,5,5,15.0135164585609,12.1255156797627,0.22337511095274,0.157237200507649,14.9894684631857,12.1497392647909,0.205436188121421,"strict_ok__hsv_exposure_filtered_peak","strict_ok","hsv_exposure_filtered_peak","photo","all_methods_common","a","environment_only_full"
1129,1129,0,0.232575226156143,0.228471350360186,0.878367035834003,4.19582272390547,1129,5,5,5,14.835667250322,11.9799753332626,0.239748798380423,0.171837618004762,14.8178015765666,12.0106843155837,0.22082464241966,"strict_ok__hsv_exposure_filtered_peak","strict_ok","hsv_exposure_filtered_peak","photo","all_methods_common","a","environment_only_bombus_common"
1129,1129,0,0.248304451134774,0.243610544942038,0.86970653387103,4.31909459124739,1129,5,5,5,14.6924457757478,11.8974056311483,0.254356664593127,0.187750365334604,14.6822494808541,11.9187575288248,0.234344760059441,"strict_ok__hsv_exposure_filtered_peak","strict_ok","hsv_exposure_filtered_peak","photo","all_methods_common","a","environment_plus_bombus"
1180,1177,3,0.22240946533116,0.218421821563628,0.884069102749537,4.22750627912812,1177,5,5,5,14.9831783952867,12.0857099848044,0.220966276532728,0.15442403824738,14.9600331729159,12.1117279970134,0.202997746572878,"strict_ok__alpha_peak","strict_ok","alpha_peak","photo","method_specific","a","environment_only_full"
