"records_total","records_complete","records_missing","r_squared_in_sample","adjusted_r_squared_in_sample","residual_sigma_standardized","model_matrix_condition_number","records_complete_cv","folds","folds_configured","folds_actual","rmse","mae","q_squared_cv","r_squared_cv_global_mean","macro_rmse","macro_mae","macro_q_squared","run","qc_scenario","colour_method","grain","cohort_basis","outcome","model_variant"
1963,1955,8,0.215318552929069,0.212901669621869,0.887185623405908,4.38700193680347,1955,5,5,5,14.7760128752188,11.9955755214653,0.215561075319338,0.145000750304307,14.7534875373306,12.0006692261643,0.192483672266327,"inclusive__primary","inclusive","primary","photo","method_specific","a","environment_only_full"
1887,1887,0,0.224483928509761,0.222008877217771,0.882038050643071,4.36768206336268,1887,5,5,5,14.6371087504072,11.8892341568895,0.233692332917901,0.160430815219071,14.621725712677,11.8995933819258,0.209611644408098,"inclusive__primary","inclusive","primary","photo","method_specific","a","environment_only_bombus_common"
1887,1887,0,0.246807302653424,0.244001369241276,0.86948181738247,4.53485499005509,1887,5,5,5,14.4602836282549,11.7770877482258,0.252095416942034,0.180593294227571,14.4540471057971,11.7866100555176,0.226332011197086,"inclusive__primary","inclusive","primary","photo","method_specific","a","environment_plus_bombus"
1963,1955,8,0.157441809331459,0.154846660900242,0.919322217233848,4.38700193680347,1955,5,5,5,12.6901536100757,10.1068186139151,0.162419322455839,0.107107364844691,12.6383342703307,10.1131385428057,0.14478425561928,"inclusive__primary","inclusive","primary","photo","method_specific","L","environment_only_full"
1887,1887,0,0.163445840621046,0.1607759869209,0.916091705605449,4.36768206336268,1887,5,5,5,12.6672960986631,10.0918984883478,0.175172442689564,0.11791082042682,12.6065824954609,10.0932838006905,0.157984073230777,"inclusive__primary","inclusive","primary","photo","method_specific","L","environment_only_bombus_common"
1887,1887,0,0.185349579680058,0.182314692536769,0.904259535456074,4.53485499005509,1887,5,5,5,12.5104818347103,9.99630574199796,0.195467873768626,0.139615211836813,12.4730081677926,9.99547716701766,0.173581649340111,"inclusive__primary","inclusive","primary","photo","method_specific","L","environment_plus_bombus"
1963,1955,8,0.164034612533928,0.161459770478078,0.915718422617959,4.38700193680347,1955,5,5,5,11.4603414275925,9.07069750259338,0.174773511564406,0.112979360514109,11.4456004192169,9.07885473990542,0.158335769321762,"inclusive__primary","inclusive","primary","photo","method_specific","b","environment_only_full"
1887,1887,0,0.172866962100247,0.170227175809077,0.910918670459071,4.36768206336268,1887,5,5,5,11.4063986512731,9.03805145685772,0.191338770991472,0.127663090325045,11.391115246361,9.04577140386124,0.17419642306544,"inclusive__primary","inclusive","primary","photo","method_specific","b","environment_only_bombus_common"
1887,1887,0,0.177949603669423,0.174887148760261,0.908357226667867,4.53485499005509,1887,5,5,5,11.4481585313348,9.08732066188157,0.185406764970152,0.121263985712159,11.4328382230204,9.09533976896018,0.168027438290548,"inclusive__primary","inclusive","primary","photo","method_specific","b","environment_plus_bombus"
1922,1914,8,0.218537973344705,0.216079256952501,0.885392987914124,4.39728626399885,1914,5,5,5,14.8149910839755,12.0394311875054,0.219339672073975,0.149026092997901,14.7929953136514,12.0431263531547,0.195408313442816,"inclusive__primary","inclusive","primary","photo","all_methods_common","a","environment_only_full"
1846,1846,0,0.228073282767545,0.225554761667276,0.880025703222766,4.37771606412855,1846,5,5,5,14.670546833419,11.9281519761252,0.238077031882828,0.165091497824466,14.6564763340315,11.9377128060262,0.213164363632579,"inclusive__primary","inclusive","primary","photo","all_methods_common","a","environment_only_bombus_common"
1846,1846,0,0.249585460677456,0.246727516294835,0.867912716639851,4.54102090018774,1846,5,5,5,14.499223540859,11.8264927593652,0.255768663343006,0.184477832324867,14.4943129202542,11.8383010080218,0.229374547786275,"inclusive__primary","inclusive","primary","photo","all_methods_common","a","environment_plus_bombus"
